quandl_code,name,exchange,symbol,depth,method,date,open,high,low,settle,volume,prev_day_open_interest,front_contract
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,3/5/21,2452.9,2510.3,2401.3,2505.7,18,22,MDM2021
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,3/4/21,2490,2512.1,2410.3,2445.8,26,17,MDM2021
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,3/3/21,2535.8,2554,2500.4,2503,13,16,MDM2021
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,3/2/21,2562,2562.2,2520.6,2523.5,6,15,MDM2021
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,3/1/21,2490.8,2567.6,2490.8,2560.5,10,12,MDM2021
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,2/26/21,2493.9,2521.6,2456.6,2489.5,18493,50116,MDH2021
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,2/25/21,2573,2584.4,2484.3,2491.5,15080,50648,MDH2021
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,2/24/21,2525,2578.7,2510.8,2571.4,10556,50449,MDH2021
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,2/23/21,2525.6,2534.8,2455.3,2523,10923,50794,MDH2021
CME_MD1_FB,"CME S&P 400 Midcap Index Futures #1 (MD1) - Front Month - Backwards Panama Adjusted Prices, Roll on First of Month",CME,MD,1,FB,2/22/21,2535.8,2541.2,2500.5,2519.5,7868,50900,MDH2021
